Adlard M			Interface
Aldiss B			Earthworks
Aldiss B			Earthworks
Aldiss B			Equator
Aldiss B			Frankenstein Unbound
Aldiss B			Frankenstein Unbound
Aldiss B			Greybeard
Aldiss B			Hothouse
Aldiss B			Last Orders and Other Stories
Aldiss B			New Arrivals, Old Encounters
Aldiss B			Report on Probability A
Aldiss B			Space, Time and Nathaniel
Aldiss B			The Canopy of Time
Aldiss B			The Canopy of Time
Aldiss B			The Dark Light Years
Aldiss B			The Interpreter
Aldiss B			The Interpreter
Aldiss B			The Interpreter
Aldiss B			The Malacia Tapestry
Aldiss B			The Shape of Further Things
Anthony P		And Eternity (Incarnations of Immortality Vol 7)
Anthony P		Anthonology
Anthony P		Bearing An Hourglass
Anthony P		Bearing An Hourglass
Anthony P		Being a Green Mother (Incarnations of Immortality Vol 5)
Anthony P		Bio of a Space Tyrant: 4 Executive
Anthony P		Bio of a Space Tyrant: 5 Statesman
Anthony P		Blue Adept (Split Infinity Vol 2)
Anthony P		Blue Adept (Split Infinity Vol 2)
Anthony P		Chthon
Anthony P		Faith of Tarot (Tarot Vol 3)
Anthony P		Ghost
Anthony P		Kirlian Quest (Cluster Series Vol 3)
Anthony P		Kirlian Quest (Cluster Series Vol 3)
Anthony P		Mercenary (Bio of a Space Tyrant Vol 2)
Anthony P		On a Pale Horse
Anthony P		On a Pale Horse`
Anthony P		Out of Phaze
Anthony P		Out of Phaze
Anthony P		Phthor
Anthony P		Politician (Bio of a Space Tyrant Vol 3)
Anthony P		Refugee (Bio of a Space Tyrant Vol 1)
Anthony P		Robot Adept (Apprentice Adept Vol 5)
Anthony P		Thousandstar (Cluster Bk 4)
Anthony P		Unicorn Point (Apprentice Adept Vol 6)
Anthony P		Vision of Tarot (Tarot Vol 2)
Anthony P		With a Tangled Skein (Incarnations of Immortality Vol 3)
Archer N			Star Trek DS9: Valhalla (#10)
Asimov I			Azazel
Auel J			The Clan of the Cave Bear
Ball B N			Sundog
Ballard J G		The Disaster Area
Ballard J G		The Drought
Barker C			Books of Blood: 1
Barker C			Weaveworld
Bayley B J		The Grand Wheel
Bayley B J		The Fall of Chronopolis
Bayley B J		The Garments of Caean
Bayley B J		The Soul of the Robot
Beard H N, Kenney D C	Harvard Lampoon's Bored of the Rings
Bearne C G		Vortex: New Soviet Science Fiction
Benford G		Timescape
Benford G,Brin D		Heart of the Comet
Bishop M			Beneath the Shattered Moons
Bishop M			No Enemy but Time
Blaylock J P		Homunculus
Blaylock J P		Land of Dreams
Blish J			A Life for the Stars (Cities in Flight Bk 2)
Blish J			And All the Stars A Stage
Blish J			Jack of Eagles
Blish J			Midsummer Century
Blish J			Midsummer Century
Blish J			Testament of Andros
Blish J			The Day After Judgement
Blish J			Welcome to Mars
Blish J, Knight N L	A Torrent of Faces
Boyer E H		The Sword and the Satchel
Boyer E H		The Thrall and the Dragon's Heart
Brin D			Sundiver
Brooks T			A Knight Of The World
Brooks T			Angel Fire East
Brooks T			Running With The Demon
Brunner J		The Dramaturges of Yan
Brunner J		The Wrong End of Time
Brunner J		Total Eclipse
Brunner J		The Squares of the City
Budrys A			Michaelmas
Budrys A			Michaelmas
Budrys A			The Falling Torch
Budrys A			The Furious Future
Budrys A			The Unexpected Dimension
Carnell J (Ed)		Lambda I and Other Stories
Carter A			Fireworks
Carter L (Ed)		The Young Magicians
Chalker J L		Downtiming: The Night Side
Chalker J L		Songs of the Dancing Gods
Chalker J L		The Labyrinth of Dreams
Chalker J L		The Labyrinth of Dreams
Clarke A C		2010 Odyssey Two
Clarke A C		Childhood's End
Clarke A C		Prelude to Space
Clarke A C		Rendezvous With Rama
Clarke A C		Rendezvous With Rama
Compton D G		Chronicules
Compton D G		Farewell, Earth's Bliss
Compton D G		The Continuous Katherine Mortenhoe
Compton D G		The Continuous Katherine Mortenhoe
Coney M G		Charisma
Coney M G		The Hero of Downways
Coney M G		Syzygy
Conklin G (Ed)		Seven Come Infinity
Conner M			I Am Not the Other Houdini
Cook R			Brain
Cooper E			Five to Twelve
Cooper E			News from Elsewhere
Cooper E			Prisoner of Fire
Cooper E			The Overman Culture
Cooper E			The Slaves of Heaven
Cowper R			Breakthrough
Cowper R			Clone
Cowper R			Kuldesak
Cowper R			Phoenix
Crispin E		Best S F
Crispin E		Best S F Four
Crispin E		Fen Country
Crowley J		Beasts
Crowley J		Beasts
Crowley J		The Deep
Crowley J		The Deep
David P			Star Trek Next Gen: Vendetta
Delany S R		Babel-17
Delany S R		The Ballad of Beta 2 / Empire Star
Delany S R		The Einstein Intersection
Delany S R		The Towers of Toron
Derleth A (Ed)		The Other Side of the Moon
Dickson G R		Pro
Dickson G R		Pro
Dillard J M		Star Trek: 43 Demons
Disch T M		Camp Concentration
Disch T M		Camp Concentration
Disch T M		Echo Round His Bones
Disch T M		The Genocides
Disch T M		The Genocides
Disch T M		Under Compulsion
Donaldson S		Daughter of Regals
Donaldson S		The Power that Preserves (The First Chronicles of Thomas Covenant Bk 3)
Donaldson S		The Real Story (Gap Into Conflict Vol 1)
Easterman D		Brotherhood of the Tomb
Easterman D		The Ninth Buddha
Eddings D		Enchanters' End Game (Belgariad Bk 5)
Ellison H		Deathbird Stories
Farmer P J		A Private Cosmos
Farmer P J		A Private Cosmos
Farmer P J		Behind the Walls of Terra
Farmer P J		Behind the Walls of Terra
Farmer P J		Down in the Black Gang
Farmer P J		Maker of Universes
Farmer P J		Maker of Universes
Farmer P J		Night of Light
Farmer P J		The Alley God
Farmer P J		The Gate of Time
Farmer P J		The Gates of Creation
Farmer P J		The Gates of Creation
Farmer P J		The Gates of Creation
Farmer P J		The Lavalite World
Farmer P J		The Lavalite World
Farmer P J		The Other Log of Phileas Fogg
Farmer P J		The Other Log of Phileas Fogg
Farmer P J		The Stone God Awakens
Farmer P J		Timestop!
Ferman E, Malzberg B	Final Stage
Fleischer L		Mary Shelley's Frankenstein
Forward R L		The Flight of the Dragonfly
Foster A D		Midworld
Fox G F			Creole Woman
Garner A			The Weirdstone of Brisingamen
Gemmell D		The Last Guardian
Geston M A		Lords of the Starship
Gilbert M		Flash Point
Gilbert M		Petrella at Q
Gilbert M		Smallbone Deceased
Gilbert M		The Empty House
Gilbert M		The Etruscan Net
Gilbert M		The Queen Against Karl Mullen
Grafton S		G is for Gumshoe
Grafton S		H is for Homicide
Haining P (Ed)		The Future Makers
Haldeman J		Dealing in Futures
Hambly B			The Silicon Mage
Harris G			The Seventh Gate (Seven Citadels Pt 4)
Harrison H		Deathworld 1
Harrison H		Deathworld 2
Harrison H		Deathworld 3
Harrison H		Nova 1
Harrison H		Planet of the Damned
Harrison H		Prime Number
Harrison H		Return to Eden
Harrison H		Technicolor Time Machine
Harrison H		The John W Campbell Memorial Anthology
Harrison H		Wheelworld
Harrison H, Dickson G R	Lifeboat
Herbert F		The Best Of Frank Herbert 1965-1970
Hjortsberg W		Gray Matters
Hogan J P		Giants' Star (Giants Bk 3)
Hogan J P		The Genesis Machine
Holdstock R		Eye Among the Blind
Holdstock R		Where Time Winds Blow
Holt T			Odds and Gods
Holt T			Who's Afraid of Beowulf?
Holt T			Ye Gods!
Howard M (Ed)		6 and the Silent Scream
Howard R,De Camp,Carter	Conan the Wanderer
Jackson R (Ed)		Frontier Crossings (a souvenir of Conspiracy)
Jakubowski M		Twenty Houses of the Zodiac
Jakubowski M (Ed)	Twenty Houses of the Zodiac
Janifer L M		A Piece of Martin Cann
Jones R F		The Deviates
Kapp C			Cageworld
Kapp C			Patterns of Chaos
Kapp C			The Ion War
Kilworth G		Theatre of Timesmiths
King S			The Eyes of the Dragon
King S			The Waste Lands (Dark Tower Vol 3)
King V			Candy Man
Knight D			In Deep
Knight D			Natural State and Other Stories
Knight D			The Other Foot
Knight D			Turning On
Kornbluth C M		A Mile Beyond the Moon
Kramer-Rolls D		Star Trek: Home is the Hunter
Kuttner H		Return to Otherness
Laumer K			A Plague of Demons
Laumer K			Galactic Odyssey
Laumer K			Nine by Laumer
Laumer K			Retief's War
Laumer K			The World Shuffler
Laumer K			The Long Twilight
Laumer K			Time Trap
Le Guin U K		The Wind's Twelve Quarters Vol 2
Lee T			Shadowfire
Lee T			The Birthgrave
Lee T			The Storm Lord
Leiber F			A Spectre is Haunting Texas
Leinster M		The Greks Bring Gifts
Lem S                   Solaris
Lewis C S		That Hideous Strength
Lindsay D		A Voyage to Arcturus
Lorrah J			Star Trek Next Gen: Metamorphosis
Lovecraft H P		At the Mountains of Madness
Lovecraft H P		Dagon
Lovecraft H P		The Haunter of the Dark
Lovecraft H P		The Horror in the Museum
Lovecraft H P		The Shuttered Room
Lovecraft H P		The Tomb
Lovecraft H P et al	Tales of the Cthulhu Mythos Vol 1
Lupoff R A		P J Farmer's 'The Dungeon' vol 1 - The Black Tower
Lynn E A			A Different Light
Lynn E A			Watchtower
MacAvoy R A		Damiano
MacAvoy R A		Damiano
MacAvoy R A		Damiano's Lute
MacAvoy R A		Twisting the Rope
MacAvoy R A		Twisting the Rope
Malzberg B		On a Planet Alien
Malzberg B		The Falling Astronauts
Margulies L (Ed)		The Unexpected
Martin G R R		Fevre Dream
May Julian		Intervention
May Julian		The Many-Coloured Land (Exiles Bk 1)
May Julian		The Non Born King (Exiles Bk 3)
McCaffrey A		The Crystal Singer
McIntyre V N		Star Trek: The Entropy Effect (#2)
Miller W M		The Darfsteller and Other Stories
Moorcock M		A Cure For Cancer
Moorcock M		Behold the Man
Moorcock M		Breakfast in the Ruins
Moorcock M		City of the Beast
Moorcock M		Count Brass
Moorcock M		Elric of Melnibone
Moorcock M		Elric of Melnibone
Moorcock M		Gloriana
Moorcock M		Legends from the End of Time
Moorcock M		New Worlds Quarterly
Moorcock M		Stormbringer
Moorcock M		The Black Corridor
Moorcock M		The Bull and the Spear
Moorcock M		The Champion of Garathorn
Moorcock M		The Champion of Garathorn
Moorcock M		The Cornelius Chronicles
Moorcock M		The End of All Songs
Moorcock M		The Hollow Lands
Moorcock M		The Ice Schooner
Moorcock M		The Jewel in the Skull
Moorcock M		The King of the Swords
Moorcock M		The Knight of the Swords
Moorcock M		The Land Leviathan
Moorcock M		The Queen of the Swords
Moorcock M		The Quest For Tanelorn
Moorcock M		The Runestaff (History of the Runestaff Vol 4)
Moorcock M		The Shores of Death
Moorcock M		The Shores of Death
Moorcock M		The Singing Citadel
Moorcock M		The Stealer of Souls
Moorcock M		The Stealer of Souls
Moorcock M		The Stealer of Souls
Moorcock M		The Sword of the Dawn (History of the Runestaff Vol 3)
